παιδεύω, παιδεύσω, ἐπαίδευσα, πεπαίδευκα, πεπαίδευμαι, ἐπαιδεύθην
φεύγω, φεύξομαι, ἔφυγον, πέφευγα, —, —
δείκνῡμι, δείξω, ἔδειξα, δέδειχα, δέδειγμαι, ἐδείχθην
ἐπανίσταμαι, ἐπαναστήσομαι, ἐπανέστην, ἐπανέστηκα, —, — % PREFIXED
ἐπιδείκνυμαι, ἐπιδείξομαι, ἐπεδειξάμην, —, ἐπιδέδειγμαι, — % PREFIXED
ἐρωτάω, ἐρωτήσω, ἠρώτησα, ἠρώτηκα, ἠρώτημαι, ἠρωτήθην
λανθάνω, λήσω, ἔλαθον, λέληθα, —, —
παραγίγνομαι, παραγενήσομαι, παρεγενόμην, παραγέγονα, παραγεγένημαι, — % PREFIXED
παραδίδωμι, παραδώσω, παρέδωκα, παραδέδωκα, παραδέδομαι, παρεδόθην % PREFIXED
παραμένω, παραμενῶ, παρέμεινα, παραμεμένηκα, —, — % PREFIXED
τυγχάνω, τεύξομαι, ἔτυχον, τετύχηκα, —, —
ὑπακούω, ὑπακούσομαι, ὑπηκουσα, ὑπακήκοα, —, ὑπηκούσθην % PREFIXED
ὑπομένω, ὑπομενῶ, ὑπέμεινα, ὑπομεμένηκα, —, — % PREFIXED
φθάνω, φθήσομαι, ἔφθασα / ἔφθην, —, —, —
χαίρω, χαιρήσω, —, κεχάρηκα, —, ἐχάρην
αἱρέω, αἱρήσω, εἷλον, ᾕρηκα, ᾕρημαι, ᾑρέθην
αἰσθάνομαι, αἰσθήσομαι, ᾐσθόμην, —, ᾔσθημαι, —
διαφέρω, διοίσω, διήνεγκα / διήνεγκον, διενήνοχα, διενήνεγμαι, διηνέχθην % PREFIXED
εἰμί, ἔσομαι, —, —, —, —
ἔστι(ν), —, —, —, —, —
ἔξεστι(ν), ἐξέσται, —, —, —, —
ἕπομαι, ἕψομαι, ἑσπόμην, —, —, —
ὁράω, ὄψομαι, εἶδον, ἑόρᾱκα / ἑώρᾱκα, ἑώρᾱμαι / ὦμμαι, ὤφθην % CONSONANT_STEM_PERFECT_PI
συμφέρω, συνοίσω, συνήνεγκα / συνήνεγκον, συνενήνοχα, συνενήνεγμαι, συνηνέχθην % PREFIXED
φέρω, οἴσω, ἤνεγκα / ἤνεγκον, ἐνήνοχα, ἐνήνεγμαι, ἠνέχθην
ἀναβαίνω, ἀναβήσομαι, ἀνέβην, ἀναβέβηκα, —, — % PREFIXED
βαίνω, -βήσομαι, -ἔβην, βέβηκα, —, —
γιγνώσκω, γνώσομαι, ἔγνων, ἔγνωκα, ἔγνωσμαι, ἐγνώσθην
ἐκπῑ́πτω, ἐκπεσοῦμαι, ἐξέπεσον, ἐκπέπτωκα, —, — % PREFIXED
λέγω, ἐρῶ / λέξω, εἶπον / ἔλεξα, εἴρηκα, εἴρημαι / λέλεγμαι, ἐλέχθην / ἐρρήθην % CONSONANT_STEM_PERFECT_GAMMA
νομίζω, νομιῶ, ἐνόμισα, νενόμικα, νενόμισμαι, ἐνομίσθην
πῑ́πτω, πεσοῦμαι, ἔπεσον, πέπτωκα, —, —
προδίδωμι, προδώσω, προέδωκα / προύδωκα, προδέδωκα, προδέδομαι, προεδόθην / προυδόθην % PREFIXED
φημί, φήσω, ἔφησα, —, —, —
ἁμαρτάνω, ἁμαρτήσομαι, ἥμαρτον, ἡμάρτηκα, ἡμάρτημαι, ἡμαρτήθην
δοκέω, δόξω, ἔδοξα, —, δέδογμαι, -ἐδόχθην
δύναμαι, δυνήσομαι, —, —, δεδύνημαι, ἐδυνήθην
εἶμι, —, —, —, —, —
ἐλαύνω, ἐλῶ, ἤλασα, -ἐλήλακα, ἐλήλαμαι, ἠλάθην
ἐπίσταμαι, ἐπιστήσομαι, —, —, —, ἠπιστήθην
ἔχω, ἕξω / σχήσω, ἔσχον, ἔσχηκα, -ἔσχημαι, —
ἀποθνῄσκω, ἀποθανοῦμαι, ἀπέθανον, τέθνηκα, —, — % PREFIXED
ἀποκτείνω, ἀποκτενῶ, ἀπέκτεινα, ἀπέκτονα, —, — % PREFIXED
ἀφῑ́ημι, ἀφήσω, ἀφῆκα, ἀφεῖκα, ἀφεῖμαι, ἀφείθην % PREFIXED
βουλεύω, βουλεύσω, ἐβούλευσα, βεβούλευκα, βεβούλευμαι, ἐβουλεύθην
ἐπιβουλεύω, ἐπιβουλεύσω, ἐπεβούλευσα, ἐπιβεβούλευκα, ἐπιβεβούλευμαι, ἐπεβουλεύθην % PREFIXED
ζητέω, ζητήσω, ἐζήτησα, ἐζήτηκα, —, ἐζητήθην
ῑ̔́ημι, -ἥσω, -ἧκα, -εἷκα, -εἷμαι, -εἵθην
μέλλω, μελλήσω, ἐμέλλησα, —, —, —
πιστεύω, πιστεύσω, ἐπίστευσα, πεπίστευκα, πεπίστευμαι, ἐπιστεύθην
συμβουλεύω, συμβουλεύσω, συνεβούλευσα, συμβεβούλευκα, συμβεβούλευμαι, συνεβουλεύθην % PREFIXED
συνῑ́ημι, συνήσω, συνῆκα, συνεῖκα, συνεῖμαι, συνείθην % PREFIXED
αἰσχῡ́νομαι, αἰσχυνοῦμαι, —, —, ᾔσχυμμαι, ᾐσχύνθην % CONSONANT_STEM_PERFECT_NU
ἀποκρῑ́νομαι, ἀποκρινοῦμαι, ἀπεκρῑνάμην, —, ἀποκέκριμαι, —
ἀπόλλῡμι, ἀπολῶ, ἀπώλεσα / ἀπωλόμην, ἀπολώλεκα / ἀπόλωλα, —, —
—, ἀνερήσομαι, ἀνηρόμην, —, —, —
—, ἐρήσομαι, ἠρόμην, —, —, —
εὑρίσκω, εὑρήσω, ηὗρον, ηὕρηκα, ηὕρημαι, ηὑρέθην
ἡγέομαι, ἡγήσομαι, ἡγησάμην, —, ἥγημαι, ἡγήθην
κρῑ́νω, κρινῶ, ἔκρῑνα, κέκρικα, κέκριμαι, ἐκρίθην
οἶδα, εἴσομαι, —, —, —, —
σύνοιδα, συνείσομαι, —, —, —, —
ἀφικνέομαι, ἀφίξομαι, ἀφῑκόμην, —, ἀφῖγμαι, — % PREFIXED
δεῖ, δεήσει, ἐδέησε(ν), —, —, —
κεῖμαι, κείσομαι, —, —, —, —
πυνθάνομαι, πεύσομαι, ἐπυθόμην, —, πέπυσμαι, —
τρέπω, τρέψω, ἔτρεψα / ἐτραπόμην, τέτροφα, τέτραμμαι, ἐτράπην / ἐτρέφθην % CONSONANT_STEM_PERFECT_PI
φαίνω, φανῶ, ἔφηνα, πέφηνα, πέφασμαι, ἐφάνην % CONSONANT_STEM_PERFECT_NU
χρή, χρῆσται, —, —, —, —
